
******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

This is Ipopt version 3.12.6, running with linear solver ma57.

Number of nonzeros in equality constraint Jacobian...:        0
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:    99821

Total number of variables............................:     5010
                     variables with only lower bounds:        0
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:        0
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  1.0002002e+04 0.00e+00 4.00e+00  -1.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  1.2317328e+03 0.00e+00 6.70e+00  -1.0 2.69e+00  -4.0 1.00e+00 5.00e-01f  2
   2 -1.6998211e+02 0.00e+00 3.06e+00  -1.0 2.69e-01   0.9 1.00e+00 1.00e+00f  1
   3 -4.8300660e+02 0.00e+00 2.18e+00  -1.0 9.18e-02   1.4 1.00e+00 1.00e+00f  1
   4 -9.6013336e+02 0.00e+00 1.68e+00  -1.0 2.42e-01   0.9 1.00e+00 1.00e+00f  1
   5 -1.0491640e+03 0.00e+00 1.57e+00  -1.0 7.79e-02   1.3 1.00e+00 1.00e+00f  1
   6 -1.1814137e+03 0.00e+00 1.30e+00  -1.0 2.27e-01   0.8 1.00e+00 1.00e+00f  1
   7 -1.2048147e+03 0.00e+00 1.25e+00  -1.0 7.01e-02   1.3 1.00e+00 1.00e+00f  1
   8 -1.2441598e+03 0.00e+00 1.10e+00  -1.0 2.35e-01   0.8 1.00e+00 1.00e+00f  1
   9 -1.2513578e+03 0.00e+00 1.07e+00  -1.0 6.86e-02   1.2 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10 -1.2535987e+03 0.00e+00 1.06e+00  -1.0 2.46e-02   1.6 1.00e+00 1.00e+00f  1
  11 -1.2593883e+03 0.00e+00 1.09e+00  -1.0 7.54e-02   1.2 1.00e+00 1.00e+00f  1
  12 -1.2613464e+03 0.00e+00 1.37e+00  -1.0 3.54e-02   1.6 1.00e+00 1.00e+00f  1
  13 -1.2679623e+03 0.00e+00 2.20e+00  -1.0 2.24e-01   1.1 1.00e+00 1.00e+00f  1
  14 -1.2704156e+03 0.00e+00 2.13e+00  -1.0 6.41e-02   1.5 1.00e+00 1.00e+00f  1
  15 -1.2793521e+03 0.00e+00 1.97e+00  -1.0 2.25e-01   1.1 1.00e+00 1.00e+00f  1
  16 -1.2823314e+03 0.00e+00 1.96e+00  -1.0 6.67e-02   1.5 1.00e+00 1.00e+00f  1
  17 -1.2924367e+03 0.00e+00 1.46e+00  -1.0 1.95e-01   1.0 1.00e+00 1.00e+00f  1
  18 -1.2955945e+03 0.00e+00 1.47e+00  -1.0 5.54e-02   1.4 1.00e+00 1.00e+00f  1
  19 -1.3067929e+03 0.00e+00 1.53e+00  -1.0 2.15e-01   1.0 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20 -1.3101821e+03 0.00e+00 1.54e+00  -1.0 6.56e-02   1.4 1.00e+00 1.00e+00f  1
  21 -1.3230806e+03 0.00e+00 1.60e+00  -1.0 3.72e-01   0.9 1.00e+00 1.00e+00f  1
  22 -1.3264909e+03 0.00e+00 1.61e+00  -1.0 7.77e-02   1.3 1.00e+00 1.00e+00f  1
  23 -1.3390587e+03 0.00e+00 1.66e+00  -1.0 3.56e-01   0.9 1.00e+00 1.00e+00f  1
  24 -1.3420739e+03 0.00e+00 1.67e+00  -1.0 9.16e-02   1.3 1.00e+00 1.00e+00f  1
  25 -1.3544137e+03 0.00e+00 1.72e+00  -1.0 4.73e-01   0.8 1.00e+00 1.00e+00f  1
  26 -1.3567827e+03 0.00e+00 1.72e+00  -1.0 1.06e-01   1.2 1.00e+00 1.00e+00f  1
  27 -1.3681213e+03 0.00e+00 1.83e+00  -1.0 6.82e-01   0.8 1.00e+00 1.00e+00f  1
  28 -1.3703706e+03 0.00e+00 1.75e+00  -1.0 1.20e-01   1.2 1.00e+00 1.00e+00f  1
  29 -1.3728176e+03 0.00e+00 1.42e+01  -1.0 1.31e+00   0.7 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30 -1.3796714e+03 0.00e+00 5.82e+00  -1.0 3.02e-01   1.1 1.00e+00 1.00e+00f  1
  31 -1.3846976e+03 0.00e+00 1.10e+01  -1.0 2.44e+00   0.7 1.00e+00 5.00e-01f  2
  32 -1.3891674e+03 0.00e+00 4.47e+00  -1.0 2.65e-01   1.1 1.00e+00 1.00e+00f  1
  33 -1.3900789e+03 0.00e+00 2.89e+00  -1.0 8.67e-02   1.5 1.00e+00 1.00e+00f  1
  34 -1.3918867e+03 0.00e+00 1.70e+00  -1.0 1.90e-01   1.0 1.00e+00 1.00e+00f  1
  35 -1.3924607e+03 0.00e+00 1.58e+00  -1.0 5.70e-02   1.5 1.00e+00 1.00e+00f  1
  36 -1.3944972e+03 0.00e+00 1.70e+00  -1.0 2.26e-01   1.0 1.00e+00 1.00e+00f  1
  37 -1.3951434e+03 0.00e+00 1.60e+00  -1.0 6.47e-02   1.4 1.00e+00 1.00e+00f  1
  38 -1.3972851e+03 0.00e+00 1.65e+00  -1.0 2.74e-01   0.9 1.00e+00 1.00e+00f  1
  39 -1.3979323e+03 0.00e+00 1.72e+00  -1.0 7.98e-02   1.3 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40 -1.4009264e+03 0.00e+00 1.74e+00  -1.0 3.34e-01   0.9 1.00e+00 1.00e+00f  1
  41 -1.4019213e+03 0.00e+00 1.73e+00  -1.0 9.07e-02   1.3 1.00e+00 1.00e+00f  1
  42 -1.4059171e+03 0.00e+00 1.71e+00  -1.0 4.15e-01   0.8 1.00e+00 1.00e+00f  1
  43 -1.4069036e+03 0.00e+00 1.72e+00  -1.0 1.03e-01   1.2 1.00e+00 1.00e+00f  1
  44 -1.4107449e+03 0.00e+00 1.75e+00  -1.0 4.47e-01   0.8 1.00e+00 1.00e+00f  1
  45 -1.4118351e+03 0.00e+00 1.74e+00  -1.0 1.16e-01   1.2 1.00e+00 1.00e+00f  1
  46 -1.4159623e+03 0.00e+00 2.87e+00  -1.0 8.39e-01   0.7 1.00e+00 1.00e+00f  1
  47 -1.4169321e+03 0.00e+00 1.49e+00  -1.0 1.07e-01   1.1 1.00e+00 1.00e+00f  1
  48 -1.4189193e+03 0.00e+00 2.26e+00  -1.0 1.71e+00   0.7 1.00e+00 5.00e-01f  2
  49 -1.4196303e+03 0.00e+00 1.09e+00  -1.0 7.82e-02   1.1 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50 -1.4197535e+03 0.00e+00 7.88e-01  -1.0 2.35e-02   1.5 1.00e+00 1.00e+00f  1
  51 -1.4201396e+03 0.00e+00 1.19e+00  -1.7 1.07e-01   1.0 1.00e+00 1.00e+00f  1
  52 -1.4203308e+03 0.00e+00 1.36e+00  -1.7 4.64e-02   1.5 1.00e+00 1.00e+00f  1
  53 -1.4214519e+03 0.00e+00 1.75e+00  -1.7 2.12e-01   1.0 1.00e+00 1.00e+00f  1
  54 -1.4219069e+03 0.00e+00 1.69e+00  -1.7 6.57e-02   1.4 1.00e+00 1.00e+00f  1
  55 -1.4233909e+03 0.00e+00 1.62e+00  -1.7 2.54e-01   0.9 1.00e+00 1.00e+00f  1
  56 -1.4237844e+03 0.00e+00 1.41e+00  -1.7 6.29e-02   1.4 1.00e+00 1.00e+00f  1
  57 -1.4254233e+03 0.00e+00 1.68e+00  -1.7 3.07e-01   0.9 1.00e+00 1.00e+00f  1
  58 -1.4259369e+03 0.00e+00 1.53e+00  -1.7 7.51e-02   1.3 1.00e+00 1.00e+00f  1
  59 -1.4280096e+03 0.00e+00 1.57e+00  -1.7 3.62e-01   0.8 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60 -1.4283765e+03 0.00e+00 1.22e+00  -1.7 6.81e-02   1.3 1.00e+00 1.00e+00f  1
  61 -1.4294376e+03 0.00e+00 1.67e+00  -1.7 2.68e-01   0.8 1.00e+00 1.00e+00f  1
  62 -1.4300651e+03 0.00e+00 1.72e+00  -1.7 1.11e-01   1.2 1.00e+00 1.00e+00f  1
  63 -1.4337654e+03 0.00e+00 1.98e+00  -1.7 6.89e-01   0.7 1.00e+00 1.00e+00f  1
  64 -1.4344646e+03 0.00e+00 1.22e+00  -1.7 9.06e-02   1.2 1.00e+00 1.00e+00f  1
  65 -1.4352693e+03 0.00e+00 3.97e+00  -1.7 9.00e-01   0.7 1.00e+00 1.00e+00f  1
  66 -1.4369631e+03 0.00e+00 1.88e+00  -1.7 1.12e-01   1.1 1.00e+00 1.00e+00f  1
  67 -1.4383522e+03 0.00e+00 2.53e+00  -1.7 1.84e+00   0.6 1.00e+00 2.50e-01f  3
  68 -1.4392314e+03 0.00e+00 1.43e+00  -1.7 1.46e-01   1.1 1.00e+00 1.00e+00f  1
  69 -1.4399046e+03 0.00e+00 6.34e+00  -1.7 1.37e+00   0.6 1.00e+00 5.00e-01f  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70 -1.4412165e+03 0.00e+00 1.47e+00  -1.7 1.48e-01   1.0 1.00e+00 1.00e+00f  1
  71 -1.4414271e+03 0.00e+00 1.61e+00  -1.7 6.01e-02   1.4 1.00e+00 1.00e+00f  1
  72 -1.4422810e+03 0.00e+00 1.74e+00  -1.7 2.24e-01   1.0 1.00e+00 1.00e+00f  1
  73 -1.4429152e+03 0.00e+00 1.24e+01  -1.7 6.23e-01   0.5 1.00e+00 1.00e+00f  1
